"","Idents.obj."
"mBC-0716-1_D8,C8","L2/3 IT CTX b"
"mBC-0716-1_D8,D8","L4/5 IT CTX"
"mBC-0716-1_D8,E6","L2 IT RvPP"
"mBC-0716-1_D8,G5","L6 IT CTX"
"mBC-0716-1_D8,H3","Astro"
"mBC-0716-1_D9,A6","L4/5 IT CTX"
"mBC-0716-1_D9,B10","L2/3 IT CTX c"
"mBC-0716-1_D9,C10","L4 IT CTX"
"mBC-0716-1_D9,D10","L5 IT CTX"
"mBC-0716-1_D9,E5","ODC"
"mBC-0716-1_D9,E6","L2/3 IT CTX a"
"mBC-0716-1_D9,E11","L5 IT CTX"
"mBC-0716-1_D9,F1","L4 IT CTX"
"mBC-0716-1_D9,F5","L6 IT CTX"
"mBC-0716-1_D9,F11","L2/3 IT CTX a"
"mBC-0716-1_D9,G12","Vip"
"mBC-0716-1_D9,H1","L5 IT RSP"
"mBC-0716-1_D9,H2","L2 IT RvPP"
"mBC-0716-1_D9,H5","Pvalb a"
"mBC-0716-1_D9,H6","Pvalb a"
"mBC-0716-1_D9,H9","Sst b"
"mBC-0716-1_D10,A5","L6 CT CTX a"
"mBC-0716-1_D10,C1","L5/6 NP CTX"
"mBC-0716-1_D10,C4","L2/3 IT CTX a"
"mBC-0716-1_D10,C10","L2/3 IT CTX b"
"mBC-0716-1_D10,D4","L2 IT RvPP"
"mBC-0716-1_D10,D11","L5 PT CTX"
"mBC-0716-1_D10,E12","Astro"
"mBC-0716-1_D10,F4","L6 IT CTX"
"mBC-0716-1_D10,G3","L2 IT RvPP"
"mBC-0716-1_D10,H2","Sst a"
"mBC-0716-1_D10,H5","L2/3 IT CTX c"
"mBC-0716-1_D11,A2","L6 IT CTX"
"mBC-0716-1_D11,B4","L5 PT CTX"
"mBC-0716-1_D11,B8","L5 PT CTX"
"mBC-0716-1_D11,C3","L2/3 IT CTX c"
"mBC-0716-1_D11,C9","ODC"
"mBC-0716-1_D11,D3","Lamp5"
"mBC-0716-1_D11,D4","L2/3 IT CTX b"
"mBC-0716-1_D11,D10","L5 IT RSP"
"mBC-0716-1_D11,D11","OPC"
"mBC-0716-1_D11,E12","Micro"
"mBC-0716-1_D11,F2","L5 IT RSP"
"mBC-0716-1_D11,F3","Pvalb a"
"mBC-0716-1_D11,F4","Astro"
"mBC-0716-1_D11,F10","ODC"
"mBC-0716-1_D11,G7","Astro"
"mBC-0716-1_D11,H4","Unk"
"mBC-0716-1_D11,H8","L2/3 IT CTX b"
"mBC-0716-1_D11,H9","L5 IT CTX"
"mBC-0716-1_D11,H10","L2/3 IT CTX b"
"mBC-0716-1_D12,A5","L5 PT CTX"
"mBC-0716-1_D12,A11","Vip"
"mBC-0716-1_D12,B8","L4 IT CTX"
"mBC-0716-1_D12,D1","L2/3 IT CTX b"
"mBC-0716-1_D12,D9","OPC"
"mBC-0716-1_D12,E1","L2/3 IT CTX c"
"mBC-0716-1_D12,E7","L6 CT CTX a"
"mBC-0716-1_D12,E8","OPC"
"mBC-0716-1_D12,F2","L2/3 IT CTX c"
"mBC-0716-1_D12,F10","Meis2"
"mBC-0716-1_D12,G5","L2/3 IT CTX a"
"mBC-0716-1_D12,G6","Unk"
"mBC-0716-1_D12,H7","L6 CT CTX b"
"mBC-0716-1_D12,H8","L6 CT CTX a"
"mBC-0716-1_E1,A7","Pvalb b"
"mBC-0716-1_E1,B3","L5/6 NP CTX"
"mBC-0716-1_E1,B9","L5 PT CTX"
"mBC-0716-1_E1,C12","L4 IT CTX"
"mBC-0716-1_E1,D4","L2/3 IT RSP"
"mBC-0716-1_E1,D6","L5/6 NP CTX"
"mBC-0716-1_E1,E9","L2/3 IT RSP"
"mBC-0716-1_E1,E11","Lamp5"
"mBC-0716-1_E1,F5","L6 CT CTX a"
"mBC-0716-1_E1,F6","Pvalb b"
"mBC-0716-1_E1,F11","L5 IT CTX"
"mBC-0716-1_E1,G3","Astro"
"mBC-0716-1_E2,A6","L2/3 IT CTX a"
"mBC-0716-1_E2,B1","ODC"
"mBC-0716-1_E2,B10","ODC"
"mBC-0716-1_E2,C8","L4/5 IT CTX"
"mBC-0716-1_E2,E12","L2 IT RvPP"
"mBC-0716-1_E2,F4","L2/3 IT CTX c"
"mBC-0716-1_E2,F10","L5 IT CTX"
"mBC-0716-1_E2,F11","L2/3 IT CTX b"
"mBC-0716-1_E2,H9","L6 IT CTX"
"mBC-0716-1_E2,H11","Unk"
"mBC-0716-1_E3,A4","L5 IT CTX"
"mBC-0716-1_E3,A6","L6b CTX"
"mBC-0716-1_E3,B10","ODC"
"mBC-0716-1_E3,B12","Meis2"
"mBC-0716-1_E3,E10","L4 IT CTX"
"mBC-0716-1_E3,F7","L6 CT CTX a"
"mBC-0716-1_E3,F11","L6 IT CTX"
"mBC-0716-1_E3,H3","ODC"
"mBC-0716-1_E3,H7","ODC"
"mBC-0716-1_E4,A1","Sncg"
"mBC-0716-1_E4,A3","L2/3 IT CTX c"
"mBC-0716-1_E4,B7","L2/3 IT CTX b"
"mBC-0716-1_E4,D1","Meis2"
"mBC-0716-1_E4,D3","L2/3 IT CTX a"
"mBC-0716-1_E4,E8","L4/5 IT CTX"
"mBC-0716-1_E4,E11","ODC"
"mBC-0716-1_E4,F1","Lamp5"
"mBC-0716-1_E4,F3","VLMC"
"mBC-0716-1_E4,G11","L2/3 IT CTX a"
"mBC-0716-1_E5,B7","Lamp5"
"mBC-0716-1_E5,B10","L4/5 IT CTX"
"mBC-0716-1_E5,C6","L4/5 IT CTX"
"mBC-0716-1_E5,D2","L4 IT CTX"
"mBC-0716-1_E5,D4","Micro"
"mBC-0716-1_E5,D9","L4 IT CTX"
"mBC-0716-1_E5,D10","L5 IT CTX"
"mBC-0716-1_E5,D12","OPC"
"mBC-0716-1_E5,E1","L2/3 IT CTX a"
"mBC-0716-1_E5,F4","L2/3 IT CTX b"
"mBC-0716-1_E5,F5","L2/3 IT CTX a"
"mBC-0716-1_E5,G2","L2/3 IT CTX b"
"mBC-0716-1_E5,G6","Unk"
"mBC-0716-1_E5,H8","L2/3 IT CTX c"
"mBC-0716-1_E5,H9","Pvalb b"
"mBC-0716-1_E5,H11","Unk"
"mBC-0716-1_E6,A4","L2/3 IT RSP"
"mBC-0716-1_E6,A11","L2/3 IT CTX a"
"mBC-0716-1_E6,B5","L5/6 NP CTX"
"mBC-0716-1_E6,B10","L5 IT CTX"
"mBC-0716-1_E6,C9","Micro"
"mBC-0716-1_E6,D3","OPC"
"mBC-0716-1_E6,D10","L2/3 IT CTX b"
"mBC-0716-1_E6,E2","L2/3 IT CTX b"
"mBC-0716-1_E6,E3","L2/3 IT CTX b"
"mBC-0716-1_E6,F3","L2/3 IT CTX b"
"mBC-0716-1_E6,F5","L6 IT CTX"
"mBC-0716-1_E6,F12","Unk"
"mBC-0716-1_E6,G5","L2 IT RvPP"
"mBC-0716-1_E6,H2","L6 CT CTX a"
"mBC-0716-1_E6,H6","VLMC"
"mBC-0716-1_E7,A2","L6 CT CTX a"
"mBC-0716-1_E7,B5","Micro"
"mBC-0716-1_E7,C7","Meis2"
"mBC-0716-1_E7,C10","Astro"
"mBC-0716-1_E7,D7","L2/3 IT CTX b"
"mBC-0716-1_E7,E4","Micro"
"mBC-0716-1_E7,E10","L5 IT CTX"
"mBC-0716-1_E7,F3","L5 PT CTX"
"mBC-0716-1_E7,F11","ODC"
"mBC-0716-1_E7,G1","Micro"
"mBC-0716-1_E7,H4","Unk"
"mBC-0716-1_E7,H8","L2/3 IT CTX a"
"mBC-0716-1_E8,A1","L2/3 IT CTX c"
"mBC-0716-1_E8,B1","Micro"
"mBC-0716-1_E8,B3","L5 IT CTX"
"mBC-0716-1_E8,C3","Astro"
"mBC-0716-1_E8,C4","L2/3 IT CTX c"
"mBC-0716-1_E8,C12","Sst a"
"mBC-0716-1_E8,D1","Sst a"
"mBC-0716-1_E8,D5","L2/3 IT CTX a"
"mBC-0716-1_E8,F2","L2/3 IT CTX c"
"mBC-0716-1_E8,F10","Astro"
"mBC-0716-1_E8,G5","L6 CT CTX b"
"mBC-0716-1_E8,G7","L2/3 IT RSP"
"mBC-0716-1_E8,G9","Vip"
"mBC-0716-1_E9,A4","L5/6 NP CTX"
"mBC-0716-1_E9,A7","Lamp5"
"mBC-0716-1_E9,B3","L2/3 IT CTX a"
"mBC-0716-1_E9,C1","L2/3 IT CTX a"
"mBC-0716-1_E9,C11","Micro"
"mBC-0716-1_E9,D7","L5 IT CTX"
"mBC-0716-1_E9,D11","L2/3 IT CTX b"
"mBC-0716-1_E9,E3","Astro"
"mBC-0716-1_E9,F3","L4 IT CTX"
"mBC-0716-1_E9,G5","L2/3 IT CTX c"
"mBC-0716-1_E9,H1","L2/3 IT CTX c"
"mBC-0716-1_E10,A5","L2/3 IT CTX a"
"mBC-0716-1_E10,A12","Pvalb b"
"mBC-0716-1_E10,B9","L2 IT RvPP"
"mBC-0716-1_E10,C6","Sst a"
"mBC-0716-1_E10,D3","Astro"
"mBC-0716-1_E10,D4","L2/3 IT CTX b"
"mBC-0716-1_E10,D8","L5 IT RSP"
"mBC-0716-1_E10,D12","L4 IT CTX"
"mBC-0716-1_E10,F5","L6 CT CTX b"
"mBC-0716-1_E10,F10","Pvalb a"
"mBC-0716-1_E10,G10","Lamp5"
"mBC-0716-1_E10,H9","L2/3 IT CTX b"
"mBC-0716-1_E11,A6","Unk"
"mBC-0716-1_E11,A10","L5 PT CTX"
"mBC-0716-1_E11,A11","L2/3 IT CTX b"
"mBC-0716-1_E11,B10","Sst b"
"mBC-0716-1_E11,D3","L5 PT CTX"
"mBC-0716-1_E11,E2","L2/3 IT CTX c"
"mBC-0716-1_E11,E5","Pvalb a"
"mBC-0716-1_E11,E7","Unk"
"mBC-0716-1_E11,F2","Astro"
"mBC-0716-1_E11,F3","L5/6 NP CTX"
"mBC-0716-1_E11,F5","L2/3 IT CTX b"
"mBC-0716-1_E11,H3","Astro"
"mBC-0716-1_E11,H4","Unk"
"mBC-0716-1_E12,A5","L5/6 NP CTX"
"mBC-0716-1_E12,B3","L2/3 IT CTX c"
"mBC-0716-1_E12,B4","L2/3 IT CTX a"
"mBC-0716-1_E12,C1","ODC"
"mBC-0716-1_E12,F1","Lamp5"
"mBC-0716-1_E12,F4","L5 PT CTX"
"mBC-0716-1_E12,F7","L6 IT CTX"
"mBC-0716-1_E12,F10","L5 IT CTX"
"mBC-0716-1_F1,A7","L4/5 IT CTX"
"mBC-0716-1_F1,B12","L2 IT RvPP"
"mBC-0716-1_F1,C6","Astro"
"mBC-0716-1_F1,C7","Unk"
"mBC-0716-1_F1,C10","Astro"
"mBC-0716-1_F1,D1","Sst b"
"mBC-0716-1_F1,D10","Lamp5"
"mBC-0716-1_F1,E5","L4 IT CTX"
"mBC-0716-1_F1,E6","ODC"
"mBC-0716-1_F1,E7","ODC"
"mBC-0716-1_F1,H6","L5 IT CTX"
"mBC-0716-1_F2,A6","Astro"
"mBC-0716-1_F2,A9","Astro"
"mBC-0716-1_F2,B3","L5/6 NP CTX"
"mBC-0716-1_F2,B4","L2/3 IT RSP"
"mBC-0716-1_F2,B8","Pvalb a"
"mBC-0716-1_F2,C2","Astro"
"mBC-0716-1_F2,E5","L5 IT CTX"
"mBC-0716-1_F2,E10","L2 IT RvPP"
"mBC-0716-1_F2,H11","Unk"
"mBC-0716-1_F3,A7","Micro"
"mBC-0716-1_F3,B2","L2/3 IT CTX b"
"mBC-0716-1_F3,B5","Pvalb a"
"mBC-0716-1_F3,B10","L5 IT CTX"
"mBC-0716-1_F3,C8","L6 CT CTX a"
"mBC-0716-1_F3,E4","Vip"
"mBC-0716-1_F3,E5","L2/3 IT CTX a"
"mBC-0716-1_F3,E10","L2/3 IT CTX a"
"mBC-0716-1_F3,F3","L2/3 IT RSP"
"mBC-0716-1_F3,F8","Unk"
"mBC-0716-1_F3,G1","Lamp5"
"mBC-0716-1_F3,G2","L2/3 IT CTX c"
"mBC-0716-1_F3,G9","L2/3 IT CTX c"
"mBC-0716-1_F3,G11","L5 IT CTX"
"mBC-0716-1_F4,A4","L5 PT CTX"
"mBC-0716-1_F4,A7","L2/3 IT CTX a"
"mBC-0716-1_F4,A11","L6 CT CTX b"
"mBC-0716-1_F4,B1","L2/3 IT RSP"
"mBC-0716-1_F4,B3","L2/3 IT CTX c"
"mBC-0716-1_F4,B5","L2/3 IT CTX c"
"mBC-0716-1_F4,C4","L5 IT CTX"
"mBC-0716-1_F4,C7","ODC"
"mBC-0716-1_F4,D4","L2/3 IT CTX b"
"mBC-0716-1_F4,D5","L4/5 IT CTX"
"mBC-0716-1_F4,E5","Lamp5"
"mBC-0716-1_F4,E8","L6b CTX"
"mBC-0716-1_F4,F2","OPC"
"mBC-0716-1_F4,G1","L5 PT CTX"
"mBC-0716-1_F4,G2","L5 IT CTX"
"mBC-0716-1_F4,G7","L2/3 IT CTX a"
"mBC-0716-1_F4,H4","Unk"
"mBC-0716-1_F5,B8","L2/3 IT RSP"
"mBC-0716-1_F5,B12","ODC"
"mBC-0716-1_F5,C12","L6 IT CTX"
"mBC-0716-1_F5,D5","L2/3 IT CTX b"
"mBC-0716-1_F5,D10","L2 IT RvPP"
"mBC-0716-1_F5,E1","L2/3 IT RSP"
"mBC-0716-1_F5,F9","L4 IT CTX"
"mBC-0716-1_F5,G2","L4/5 IT CTX"
"mBC-0716-1_F6,A4","L2/3 IT CTX a"
"mBC-0716-1_F6,A8","Pvalb b"
"mBC-0716-1_F6,B1","L5 IT CTX"
"mBC-0716-1_F6,B8","L2/3 IT RSP"
"mBC-0716-1_F6,B12","L5/6 NP CTX"
"mBC-0716-1_F6,C6","Astro"
"mBC-0716-1_F6,C8","L4/5 IT CTX"
"mBC-0716-1_F6,C11","Astro"
"mBC-0716-1_F6,E9","VLMC"
"mBC-0716-1_F6,F10","L2/3 IT CTX b"
"mBC-0716-1_F6,G11","Astro"
"mBC-0716-1_F7,A2","L5 IT RSP"
"mBC-0716-1_F7,A6","L5 IT CTX"
"mBC-0716-1_F7,A7","L6 CT CTX b"
"mBC-0716-1_F7,B8","L2/3 IT CTX c"
"mBC-0716-1_F7,C2","Vip"
"mBC-0716-1_F7,C12","L4/5 IT CTX"
"mBC-0716-1_F7,D3","L6 CT CTX a"
"mBC-0716-1_F7,D5","Lamp5"
"mBC-0716-1_F7,D8","Sncg"
"mBC-0716-1_F7,F4","L4/5 IT CTX"
"mBC-0716-1_F7,F8","Pvalb b"
"mBC-0716-1_F7,G5","Pvalb a"
"mBC-0716-1_F7,G6","Unk"
"mBC-0716-1_F7,G9","L6 IT CTX"
"mBC-0716-1_F7,G10","L6 IT CTX"
"mBC-0716-1_F7,H3","Lamp5"
"mBC-0716-1_F8,A11","L6 CT CTX a"
"mBC-0716-1_F8,B11","L6 CT CTX b"
"mBC-0716-1_F8,D8","L6 IT CTX"
"mBC-0716-1_F8,E7","Astro"
"mBC-0716-1_F8,F1","L6 IT CTX"
"mBC-0716-1_F8,F6","Astro"
"mBC-0716-1_F8,G3","VLMC"
"mBC-0716-1_F8,G8","Meis2"
"mBC-0716-1_F8,G9","L2/3 IT CTX b"
"mBC-0716-1_F8,H1","ODC"
"mBC-0716-1_F8,H3","L2/3 IT CTX c"
"mBC-0716-1_F8,H9","L6 CT CTX b"
"mBC-0716-1_F8,H11","Unk"
"mBC-0716-1_F9,A1","Sst a"
"mBC-0716-1_F9,A8","L2/3 IT RSP"
"mBC-0716-1_F9,B1","L5 IT CTX"
"mBC-0716-1_F9,B2","L2/3 IT CTX a"
"mBC-0716-1_F9,B5","L6 CT CTX a"
"mBC-0716-1_F9,C1","Sst a"
"mBC-0716-1_F9,C10","L4/5 IT CTX"
"mBC-0716-1_F9,C11","OPC"
"mBC-0716-1_F9,D4","L4/5 IT CTX"
"mBC-0716-1_F9,D8","Sst a"
"mBC-0716-1_F9,E9","L2/3 IT RSP"
"mBC-0716-1_F9,F8","Unk"
"mBC-0716-1_F9,H4","Unk"
"mBC-0716-1_F9,H9","Sst a"
"mBC-0716-1_F10,A6","Lamp5"
"mBC-0716-1_F10,B6","L2/3 IT RSP"
"mBC-0716-1_F10,B11","Unk"
"mBC-0716-1_F10,C6","L5 IT RSP"
"mBC-0716-1_F10,C12","L6 IT CTX"
"mBC-0716-1_F10,D5","OPC"
"mBC-0716-1_F10,F4","L2/3 IT CTX c"
"mBC-0716-1_F10,F5","Pvalb b"
"mBC-0716-1_F10,F12","Unk"
"mBC-0716-1_F10,G3","L5 IT RSP"
"mBC-0716-1_F10,H2","L6 CT CTX a"
"mBC-0716-1_F11,A12","L6 CT CTX b"
"mBC-0716-1_F11,B2","Unk"
"mBC-0716-1_F11,B4","L2/3 IT CTX a"
"mBC-0716-1_F11,B7","L6 CT CTX a"
"mBC-0716-1_F11,C3","ODC"
"mBC-0716-1_F11,C11","Astro"
"mBC-0716-1_F11,F2","L5 IT RSP"
"mBC-0716-1_F11,F4","Pvalb b"
"mBC-0716-1_F11,F6","Astro"
"mBC-0716-1_F11,G2","L2/3 IT CTX c"
"mBC-0716-1_F11,G5","L6 CT CTX b"
"mBC-0716-1_F11,G7","L6 CT CTX a"
"mBC-0716-1_F11,H5","L5 IT RSP"
"mBC-0716-1_F12,A3","L2/3 IT CTX c"
"mBC-0716-1_F12,A6","L2/3 IT CTX a"
"mBC-0716-1_F12,A10","L5 PT CTX"
"mBC-0716-1_F12,B5","L5 PT CTX"
"mBC-0716-1_F12,C2","Astro"
"mBC-0716-1_F12,C4","L2 IT RvPP"
"mBC-0716-1_F12,C5","L2/3 IT RSP"
"mBC-0716-1_F12,C7","Astro"
"mBC-0716-1_F12,D5","L6 CT CTX a"
"mBC-0716-1_F12,E5","L6 CT CTX b"
"mBC-0716-1_F12,E6","L4 IT CTX"
"mBC-0716-1_F12,E7","L6 CT CTX a"
"mBC-0716-1_F12,F3","L4 IT CTX"
"mBC-0716-1_F12,F5","Astro"
"mBC-0716-1_F12,F6","L5 IT CTX"
"mBC-0716-1_F12,F7","Pvalb b"
"mBC-0716-1_F12,G6","Unk"
"mBC-0716-1_F12,G11","L6 CT CTX a"
"mBC-0716-1_F12,H1","Pvalb a"
"mBC-0716-1_F12,H5","L4/5 IT CTX"
"mBC-0716-1_G1,A6","ODC"
"mBC-0716-1_G1,B9","Sst b"
"mBC-0716-1_G1,B12","Astro"
"mBC-0716-1_G1,C5","L2/3 IT CTX a"
"mBC-0716-1_G1,C6","Meis2"
"mBC-0716-1_G1,C11","L2/3 IT CTX c"
"mBC-0716-1_G1,D1","L2/3 IT CTX c"
"mBC-0716-1_G1,D3","L2/3 IT CTX a"
"mBC-0716-1_G1,E8","L4/5 IT CTX"
"mBC-0716-1_G1,F1","L2/3 IT CTX a"
"mBC-0716-1_G1,G6","Unk"
"mBC-0716-1_G1,G10","Astro"
"mBC-0716-1_G1,H5","L2/3 IT CTX b"
"mBC-0716-1_G2,A5","ODC"
"mBC-0716-1_G2,B6","L5 IT RSP"
"mBC-0716-1_G2,C5","L2/3 IT CTX c"
"mBC-0716-1_G2,D6","ODC"
"mBC-0716-1_G2,D12","Pvalb a"
"mBC-0716-1_G2,E2","L2/3 IT CTX a"
"mBC-0716-1_G2,E8","L6 CT CTX b"
"mBC-0716-1_G2,F3","L5 IT CTX"
"mBC-0716-1_G2,H5","Meis2"
"mBC-0716-1_G3,A3","Astro"
"mBC-0716-1_G3,A4","OPC"
"mBC-0716-1_G3,C4","L2/3 IT RSP"
"mBC-0716-1_G3,C7","L2/3 IT CTX b"
"mBC-0716-1_G3,E1","L2/3 IT CTX b"
"mBC-0716-1_G3,E3","Vip"
"mBC-0716-1_G3,E6","Astro"
"mBC-0716-1_G3,F3","L5/6 NP CTX"
"mBC-0716-1_G3,F4","L2/3 IT CTX c"
"mBC-0716-1_G3,F7","ODC"
"mBC-0716-1_G3,F11","L5 IT RSP"
"mBC-0716-1_G3,H10","Astro"
"mBC-0716-1_G4,A4","Pvalb b"
"mBC-0716-1_G4,B3","Sst a"
"mBC-0716-1_G4,B4","VLMC"
"mBC-0716-1_G4,C9","ODC"
"mBC-0716-1_G4,D5","L6 CT CTX a"
"mBC-0716-1_G4,D7","L6 IT CTX"
"mBC-0716-1_G4,D12","Astro"
"mBC-0716-1_G4,H1","L4/5 IT CTX"
"mBC-0716-1_G4,H7","L2/3 IT CTX a"
"mBC-0716-1_G5,A6","Sst a"
"mBC-0716-1_G5,A9","Astro"
"mBC-0716-1_G5,B1","L4 IT CTX"
"mBC-0716-1_G5,B3","L6 CT CTX b"
"mBC-0716-1_G5,B8","L5 IT CTX"
"mBC-0716-1_G5,C4","ODC"
"mBC-0716-1_G5,C9","L2/3 IT CTX c"
"mBC-0716-1_G5,D1","Pvalb b"
"mBC-0716-1_G5,D3","Sst a"
"mBC-0716-1_G5,D4","OPC"
"mBC-0716-1_G5,E7","L4 IT CTX"
"mBC-0716-1_G5,F3","L4 IT CTX"
"mBC-0716-1_G5,F5","Astro"
"mBC-0716-1_G5,F9","L2/3 IT RSP"
"mBC-0716-1_G5,G6","Unk"
"mBC-0716-1_G5,H1","Astro"
"mBC-0716-1_G5,H9","L2/3 IT RSP"
"mBC-0716-1_G6,A4","L2/3 IT CTX a"
"mBC-0716-1_G6,B2","Sst b"
"mBC-0716-1_G6,C1","L2/3 IT CTX c"
"mBC-0716-1_G6,C7","L2/3 IT CTX c"
"mBC-0716-1_G6,C10","Astro"
"mBC-0716-1_G6,D7","L4/5 IT CTX"
"mBC-0716-1_G6,E5","L4/5 IT CTX"
"mBC-0716-1_G6,E7","ODC"
"mBC-0716-1_G6,E12","L5 IT CTX"
"mBC-0716-1_G6,F6","Astro"
"mBC-0716-1_G6,G7","L2 IT RvPP"
"mBC-0716-1_G6,H2","Astro"
"mBC-0716-1_G6,H7","L2/3 IT CTX c"
"mBC-0716-1_G7,A11","L6 CT CTX a"
"mBC-0716-1_G7,B3","L2/3 IT CTX a"
"mBC-0716-1_G7,C3","OPC"
"mBC-0716-1_G7,D5","Micro"
"mBC-0716-1_G7,D6","L2/3 IT CTX a"
"mBC-0716-1_G7,D8","ODC"
"mBC-0716-1_G7,E9","L5 IT CTX"
"mBC-0716-1_G7,G10","L5 PT CTX"
"mBC-0716-1_G7,H5","L6 CT CTX a"
"mBC-0716-1_G8,A9","Pvalb a"
"mBC-0716-1_G8,B7","Unk"
"mBC-0716-1_G8,B10","L5 IT CTX"
"mBC-0716-1_G8,C6","L2/3 IT CTX a"
"mBC-0716-1_G8,C7","L6 IT CTX"
"mBC-0716-1_G8,C9","L2/3 IT CTX b"
"mBC-0716-1_G8,D3","L6 IT CTX"
"mBC-0716-1_G8,F2","ODC"
"mBC-0716-1_G8,G9","L4 IT CTX"
"mBC-0716-1_G8,H3","L6 IT CTX"
"mBC-0716-1_G8,H7","Pvalb b"
"mBC-0716-1_G9,A4","Unk"
"mBC-0716-1_G9,A11","L2/3 IT CTX c"
"mBC-0716-1_G9,C3","L6 CT CTX b"
"mBC-0716-1_G9,D3","L5 IT CTX"
"mBC-0716-1_G9,D8","L2/3 IT CTX b"
"mBC-0716-1_G9,D11","L4 IT CTX"
"mBC-0716-1_G9,F5","L5 IT CTX"
"mBC-0716-1_G9,F7","L6 CT CTX a"
"mBC-0716-1_G9,G5","L6 CT CTX a"
"mBC-0716-1_G9,G10","L4 IT CTX"
"mBC-0716-1_G9,H1","L2/3 IT CTX a"
"mBC-0716-1_G9,H2","L5 IT RSP"
"mBC-0716-1_G9,H3","L2/3 IT CTX b"
"mBC-0716-1_G9,H8","L2/3 IT CTX a"
"mBC-0716-1_G10,A7","L5 IT RSP"
"mBC-0716-1_G10,A10","L4 IT CTX"
"mBC-0716-1_G10,B5","L2 IT RvPP"
"mBC-0716-1_G10,D3","L2/3 IT RSP"
"mBC-0716-1_G10,D12","ODC"
"mBC-0716-1_G10,F2","L2/3 IT CTX b"
"mBC-0716-1_G10,G5","L6 CT CTX b"
"mBC-0716-1_G10,G10","L2/3 IT CTX a"
"mBC-0716-1_G10,G12","Sncg"
"mBC-0716-1_G10,H10","L2 IT RvPP"
"mBC-0716-1_G11,A8","Pvalb a"
"mBC-0716-1_G11,B9","OPC"
"mBC-0716-1_G11,B11","Unk"
"mBC-0716-1_G11,C2","L2/3 IT CTX a"
"mBC-0716-1_G11,C3","Astro"
"mBC-0716-1_G11,C6","L5 IT CTX"
"mBC-0716-1_G11,C7","L2/3 IT CTX c"
"mBC-0716-1_G11,D5","Pvalb a"
"mBC-0716-1_G11,D10","L6 CT CTX a"
"mBC-0716-1_G11,E2","Astro"
"mBC-0716-1_G11,E8","L5/6 NP CTX"
"mBC-0716-1_G11,F6","L4/5 IT CTX"
"mBC-0716-1_G11,G2","L2/3 IT RSP"
"mBC-0716-1_G11,G8","OPC"
"mBC-0716-1_G11,H3","L5 IT CTX"
"mBC-0716-1_G11,H10","L6 IT CTX"
"mBC-0716-1_G12,A6","L5 IT CTX"
"mBC-0716-1_G12,B2","L2/3 IT CTX c"
"mBC-0716-1_G12,B12","L2/3 IT CTX a"
"mBC-0716-1_G12,C1","L5 IT CTX"
"mBC-0716-1_G12,C3","Sst a"
"mBC-0716-1_G12,C9","L4/5 IT CTX"
"mBC-0716-1_G12,D1","L5 IT RSP"
"mBC-0716-1_G12,D6","L4 IT CTX"
"mBC-0716-1_G12,D7","Meis2"
"mBC-0716-1_G12,D8","L5 IT CTX"
"mBC-0716-1_G12,F4","L2/3 IT CTX a"
"mBC-0716-1_G12,G11","L2/3 IT CTX a"
"mBC-0716-1_G12,H1","L2/3 IT CTX c"
"mBC-0716-1_G12,H2","L2 IT RvPP"
"mBC-0716-1_G12,H9","Astro"
"mBC-0716-1_H1,A3","Micro"
"mBC-0716-1_H1,A10","Unk"
"mBC-0716-1_H1,B1","L5 IT RSP"
"mBC-0716-1_H1,B5","L2/3 IT CTX a"
"mBC-0716-1_H1,B11","Unk"
"mBC-0716-1_H1,C2","L5/6 NP CTX"
"mBC-0716-1_H1,C9","L2/3 IT CTX c"
"mBC-0716-1_H1,C10","Sst b"
"mBC-0716-1_H1,D5","L2/3 IT CTX a"
"mBC-0716-1_H1,E4","L4/5 IT CTX"
"mBC-0716-1_H1,E9","L6 CT CTX b"
"mBC-0716-1_H1,F5","L4/5 IT CTX"
"mBC-0716-1_H1,F8","Unk"
"mBC-0716-1_H1,H6","Vip"
"mBC-0716-1_H2,A4","Astro"
"mBC-0716-1_H2,A7","L2/3 IT CTX c"
"mBC-0716-1_H2,A8","Micro"
"mBC-0716-1_H2,A10","Pvalb b"
"mBC-0716-1_H2,B2","L2/3 IT CTX a"
"mBC-0716-1_H2,B4","L4 IT CTX"
"mBC-0716-1_H2,B9","L4/5 IT CTX"
"mBC-0716-1_H2,C11","L4 IT CTX"
"mBC-0716-1_H2,D6","L5/6 NP CTX"
"mBC-0716-1_H2,E1","L6 CT CTX a"
"mBC-0716-1_H2,E6","VLMC"
"mBC-0716-1_H2,E10","L2/3 IT RSP"
"mBC-0716-1_H2,F4","L6 CT CTX a"
"mBC-0716-1_H2,F7","Astro"
"mBC-0716-1_H2,G6","Unk"
"mBC-0716-1_H2,H6","Sst a"
"mBC-0716-1_H3,A1","L2/3 IT CTX b"
"mBC-0716-1_H3,A3","L2/3 IT RSP"
"mBC-0716-1_H3,A6","ODC"
"mBC-0716-1_H3,A10","L2/3 IT CTX b"
"mBC-0716-1_H3,B1","L2 IT RvPP"
"mBC-0716-1_H3,B2","L2/3 IT CTX c"
"mBC-0716-1_H3,C7","Astro"
"mBC-0716-1_H3,D6","L2/3 IT CTX a"
"mBC-0716-1_H3,E3","Astro"
"mBC-0716-1_H3,F1","L4 IT CTX"
"mBC-0716-1_H3,F7","L2/3 IT CTX b"
"mBC-0716-1_H3,F8","Unk"
