"","Idents.obj."
"mBC-0716-1_A10,B5","L2/3 IT CTX b"
"mBC-0716-1_A10,B7","Astro"
"mBC-0716-1_A10,B10","L4 IT CTX"
"mBC-0716-1_A10,D1","OPC"
"mBC-0716-1_A10,D3","VLMC"
"mBC-0716-1_A10,D10","L4 IT CTX"
"mBC-0716-1_A10,D11","L6 CT CTX b"
"mBC-0716-1_A10,F5","OPC"
"mBC-0716-1_A10,F8","Unk"
"mBC-0716-1_A10,F10","Astro"
"mBC-0716-1_A10,F11","Sst a"
"mBC-0716-1_A10,G11","OPC"
"mBC-0716-1_A10,H3","L5/6 NP CTX"
"mBC-0716-1_A11,A6","L4 IT CTX"
"mBC-0716-1_A11,A7","Vip"
"mBC-0716-1_A11,A8","L2/3 IT CTX b"
"mBC-0716-1_A11,B1","L2/3 IT CTX b"
"mBC-0716-1_A11,C2","L4/5 IT CTX"
"mBC-0716-1_A11,C4","L5 IT CTX"
"mBC-0716-1_A11,C8","L4 IT CTX"
"mBC-0716-1_A11,D6","L4 IT CTX"
"mBC-0716-1_A11,D8","L2/3 IT CTX c"
"mBC-0716-1_A11,D10","L4 IT CTX"
"mBC-0716-1_A11,E5","L4/5 IT CTX"
"mBC-0716-1_A11,G3","L6 CT CTX a"
"mBC-0716-1_A11,G7","L2/3 IT CTX c"
"mBC-0716-1_A11,G10","L6 IT CTX"
"mBC-0716-1_A11,G12","L2/3 IT CTX b"
"mBC-0716-1_A11,H1","L5 PT CTX"
"mBC-0716-1_A11,H2","ODC"
"mBC-0716-1_A11,H10","L5 IT RSP"
"mBC-0716-1_A12,A6","L2/3 IT CTX a"
"mBC-0716-1_A12,A10","L5 IT RSP"
"mBC-0716-1_A12,B1","L5 IT CTX"
"mBC-0716-1_A12,B2","L5 PT CTX"
"mBC-0716-1_A12,C2","L2/3 IT CTX b"
"mBC-0716-1_A12,C7","Sst a"
"mBC-0716-1_A12,C10","L5 IT CTX"
"mBC-0716-1_A12,D1","L2/3 IT CTX b"
"mBC-0716-1_A12,D6","OPC"
"mBC-0716-1_A12,E6","ODC"
"mBC-0716-1_A12,F8","Pvalb b"
"mBC-0716-1_A12,G6","L4 IT CTX"
"mBC-0716-1_B1,A7","Lamp5"
"mBC-0716-1_B1,B2","Vip"
"mBC-0716-1_B1,B3","L2/3 IT CTX a"
"mBC-0716-1_B1,E4","L2/3 IT CTX b"
"mBC-0716-1_B1,E9","L2/3 IT RSP"
