,louvain,cell type
"CD-0722-4_A7,C8",6,LMPP
"CD-0722-4_A7,E7",4,HSC
"CD-0722-4_A7,G9",0,B-NK
"CD-0722-4_A7,H7",4,HSC
"CD-0722-4_A8,A6",4,HSC
"CD-0722-4_A8,E5",6,LMPP
"CD-0722-4_A8,E9",3,MPP
"CD-0722-4_A8,E10",0,B-NK
"CD-0722-4_A8,F10",6,LMPP
"CD-0722-4_A9,B8",8,Unk=B-NK
"CD-0722-4_A9,B10",2,Unk=2
"CD-0722-4_A9,C12",3,MPP
"CD-0722-4_A9,H9",1,Unk=HSC
"CD-0722-4_A10,B2",6,LMPP
"CD-0722-4_A10,B9",5,Unk=5
"CD-0722-4_A10,E11",0,B-NK
"CD-0722-4_A10,H1",6,LMPP
"CD-0722-4_A11,C1",3,MPP
"CD-0722-4_A11,G11",3,MPP
"CD-0722-4_A11,H6",9,MLP
"CD-0722-4_A12,A5",4,HSC
"CD-0722-4_A12,C12",4,HSC
"CD-0722-4_A12,E11",7,MEP
"CD-0722-4_A12,G9",0,B-NK
"CD-0722-4_B1,B6",6,LMPP
"CD-0722-4_B1,G8",0,B-NK
"CD-0722-4_B2,C10",3,MPP
"CD-0722-4_B2,D12",4,HSC
"CD-0722-4_B2,G8",6,LMPP
"CD-0722-4_B2,G9",6,LMPP
"CD-0722-4_B3,A6",2,Unk=2
"CD-0722-4_B3,B4",8,Unk=B-NK
"CD-0722-4_B3,B8",2,Unk=2
"CD-0722-4_B3,D10",5,Unk=5
"CD-0722-4_B3,F10",4,HSC
"CD-0722-4_B3,H8",3,MPP
"CD-0722-4_B4,A11",1,Unk=HSC
"CD-0722-4_B4,B3",4,HSC
"CD-0722-4_B4,C8",4,HSC
"CD-0722-4_B4,C11",1,Unk=HSC
"CD-0722-4_B4,C12",0,B-NK
"CD-0722-4_B4,E2",2,Unk=2
"CD-0722-4_B4,E3",4,HSC
"CD-0722-4_B4,E4",6,LMPP
"CD-0722-4_B5,A5",6,LMPP
"CD-0722-4_B5,E2",3,MPP
"CD-0722-4_B5,E4",6,LMPP
"CD-0722-4_B5,E9",4,HSC
"CD-0722-4_B5,F5",5,Unk=5
"CD-0722-4_B5,F7",0,B-NK
"CD-0722-4_B5,H3",3,MPP
"CD-0722-4_B5,H8",0,B-NK
"CD-0722-4_B6,A2",1,Unk=HSC
"CD-0722-4_B6,A7",8,Unk=B-NK
"CD-0722-4_B6,B8",3,MPP
"CD-0722-4_B6,D12",3,MPP
"CD-0722-4_B6,F10",3,MPP
"CD-0722-4_B6,G2",8,Unk=B-NK
"CD-0722-4_B6,G12",6,LMPP
"CD-0722-4_B7,E7",0,B-NK
"CD-0722-4_B7,G8",2,Unk=2
"CD-0722-4_B8,A12",4,HSC
"CD-0722-4_B8,B9",5,Unk=5
"CD-0722-4_B8,E7",3,MPP
"CD-0722-4_B8,H5",8,Unk=B-NK
"CD-0722-4_B9,E7",0,B-NK
"CD-0722-4_B9,G1",2,Unk=2
"CD-0722-4_B9,G2",2,Unk=2
"CD-0722-4_B9,G9",6,LMPP
